estado;regiao;interestpol;high_interest;high_med_interest;med_interest;low_interest;low_no_interest;sem_interest;votedifsex1;votedifsex2;evervotefem;faltapoiofam;dific_conc_h;apoio_party;falta_interesse;div_sexual_trab;reasonparty;presidsymbolic;femrightsconhece;femrightsenough;parityagree;quotapunish;quotasenathird;haspartner;housekeep;haskids;haskidsin;haskidsinlittle;kidscare;kidstotal;wannakids;paidjob;assoc;levelasOUTDATED;levelassoc;familysupport;partnersupport;partnchangcitsupport;candwchance;thinkcand;sex;ageinterval;educalevel;incomeinterval;religion;pesos
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;influencia;conhece;suficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 40 a 49;ensino_fundamental;mais de 2 a 5 sm;evangelica;0,053452461
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_fundamental;ate 2 sm;evangelica;0,053452461
minas gerais;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_fundamental;ate 2 sm;catolica;0,053452461
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;na;catolica;0,053452461
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;ate 2 sm;catolica;0,053452461
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_medio;ate 2 sm;catolica;0,053452461
minas gerais;sudeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;sou_membro_de_assoc;alto;sou_membro_de_assocalto;nao_apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;ate 2 sm;catolica;0,053452461
para;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_medio;ate 2 sm;catolica;0,018631153
para;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 40 a 49;ensino_medio;ate 2 sm;evangelica;0,018631153
para;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;nao_apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_medio;mais de 2 a 5 sm;evangelica;0,018631153
paraiba;nordeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_superior;na;catolica;0,010350641
paraiba;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;tarefas_domesticas;tempo dedicado as tarefas domesticas;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_fundamental;ate 2 sm;evangelica;0,010350641
parana;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;suficientes;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_fundamental;ate 2 sm;catolica;0,028826703
pernambuco;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;simhomens_engajados/as_patriarcado;faz_diferenca;nao;outro;outro;outro;outro;tarefas_domesticas;tempo dedicado as tarefas domesticas;influencia;conhece;suficientes;discorda;sim;na;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;sem renda;evangelica;0,024187458
pernambuco;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 50 a 59;ensino_fundamental;ate 2 sm;catolica;0,024187458
piaui;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;mais de 2 a 5 sm;evangelica;0,00825354
rio de Janeiro;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simhomens_engajados/as_patriarcado;faz_diferenca;nao;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_fundamental;ate 2 sm;sem religiao ou crenca;0,046547539
rio de Janeiro;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;mais de 2 a 5 sm;evangelica;0,046547539
rio de Janeiro;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;ate 2 sm;catolica;0,046547539
rio grande de norte;nordeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;na;evangelica;0,008631153
rio grande do sul;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 20 a 29;ensino_medio;ate 2 sm;catolica;0,029993257
rio grande do sul;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;ate 2 sm;sem religiao ou crenca;0,029993257
rio grande do sul;sul;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;na;catolica;0,029993257
rio grande do sul;sul;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;sou_membro_de_assoc;alto;sou_membro_de_assocalto;apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 50 a 59;ensino_superior;mais de 5 a 10 sm;espirita;0,029993257
santa catarina;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 30 a 39;ensino_superior;mais de 2 a 5 sm;sem religiao ou crenca;0,01770735
santa catarina;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;outro;outro;outro;outro;outro;influencia;conhece;na;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 40 a 49;ensino_superior;mais de 2 a 5 sm;sem religiao ou crenca;0,01770735
sao paulo;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;contra;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_superior;na;espirita;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;ate 2 sm;evangelica;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;discorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 50 a 59;ensino_medio;ate 2 sm;evangelica;0,117397168
